sentence,tags,lem
أبو أحمد ١٦٨ تتمة ديوان استشهاد عرنوس وهم رافعينهم على اسنة الرماح ، وساروا طالبين صور ، وجوان قدامهم وهو فرحان وعمال * يرقص من طربه .,noun_prop noun_prop digit verb noun noun noun pron noun_prop prep noun noun punc verb noun noun_prop punc noun_prop noun pron noun_prop noun punc verb prep noun punc,أَبُو أَحْمَد ١٦٨ تَمّ دِيوان ٱِسْتِشْهاد عِرْناس هُم رافعينهم عَلَى أَسَنّ رَمّاح ، سار طالِب صُور ، جُوان قُدّام هُوَ فَرْحان عامِل * رَقَص مِن طَرَب .
هذا كان .,pron_dem verb punc,هٰذا كان .
واما عسكر الأسلام ، فأنهم لا زالوا يضربوا سيف بالأنكليز الى ان ولى النهار واقبل الليل بالأعتكار .,conj noun_prop noun_prop punc conj_sub part_neg verb verb noun_prop noun_prop prep conj_sub verb noun_prop verb noun noun_prop punc,إِمّا عَسْكَر إِسْلام ، أَنَّ لا زال ضَرَب سَيْف إِنْكلِيزِيّ إِلَى أَنَّ وَلَّى نَهار قَبِل لَيْل بالاعتكار .
فانكسرت عسكر الكفار ، وركنوا الى الهرب والفرار ، والأسلام وراهم بالصارم البتار ، الى ان ادخلوهم داخل الأصوار ، وما ردهم الا رمى النار ، وحاصرت الأنكليز داخل الأصوار .,verb noun_prop noun punc verb prep noun noun punc noun_prop verb adj noun punc prep conj_sub verb noun noun_prop punc pron_rel noun part verb noun punc verb noun_prop noun noun_prop punc,ٱِنْكَسَر عَسْكَر كافِر ، رَكَن إِلَى هَرَب فِرار ، إِسْلام راوَنْد صارِم بَتّار ، إِلَى أَنَّ أَدْخَل داخِل الاصوار ، ما رَدّ إِلّا رَمَى نار ، حاصَر إِنْكلِيزِيّ داخِل الاصوار .
والأسلام رجعوا على خيل شارده ، وعدد مبدده ، وغنيمه عظيمه ، لها قدر وقيمه .,noun_prop verb prep noun noun punc noun noun punc noun adj punc prep noun noun punc,إِسْلام رَجَع عَلَى خَيْل شارِد ، عَدَد مُبَدِّد ، غَنِيمَة عَظِيم ، لِ قَدْر قِيمَة .
وملكوا الخيام الأنكليز بما فيها .,verb noun noun_prop pron_rel prep punc,مَلَك خَيْمَة إِنْكلِيزِيّ ما فِي .
ورجع الملك قدام الأسلام والى جانبه الوزير شاهين ، ولكن حاسس الملك كأنه رايح يختنق .,verb noun noun noun_prop prep noun noun noun_prop punc conj noun_prop noun verb_pseudo noun verb punc,رَجَع مَلِك قُدّام إِسْلام إِلَى جانِب وَزِير شاهِين ، لٰكِن حاسس مَلِك كَأَنَّ رائِح ٱِخْتَنَق .
فطلع الوزير بوجهه ، لقاه مقطب الحاجب ، ونافر العرق الهاشمى بين عينيه .,verb noun noun punc noun noun_prop noun punc noun noun adj noun noun punc,طَلَع وَزِير وَجْه ، لَقَى مقطب ٱِحْتِجاب ، نافِر عَرَق هاشِمِيّ بَيِّن عَيْن .
فقال له : امان افندم ، الحمد لله انتصرنا ، وعن قريب – ان شاء الله – نملك البلد ونقتل رومان ومن معه .,verb prep punc noun noun_prop punc noun noun_prop verb punc prep adj punc conj_sub verb noun_prop punc verb noun verb noun_prop prep prep punc,قال لِ : أَمان أَفَنْدِم ، حَمْد اللَّه ٱِنْتَصَر ، عَن قَرِيب – أَنَّ شاء اللَّه – مَلَك بَلَد قَتَل رُومان مِن مَع .
قال له الملك : والله ، يا حاج شاهين ، ما هو جايه فى بالى هذا الأمر لأنه ربنا دائما معودنا النصر ، ولكن شايف حالى مقبوض كثير .,verb prep noun punc noun_prop punc part_voc noun_prop noun_prop punc pron_rel pron noun_prop prep noun pron_dem noun conj_sub noun adj adj noun_prop punc conj noun_prop adj adj noun punc,قال لِ مَلِك : اللَّه ، يا حاجّ شاهِين ، ما هُوَ جايه فِي بال هٰذا أَمْر أَنَّ رَبّ دائِم مُعَوَّد نَصْر ، لٰكِن شايف حالِيّ مَقْبُوض كَثِير .
